model,raw_score,quantization_score,final_score
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
H100_PCIE_80GB,0.475,0.2,89.70154501941143
RTX_A6000,0.4032292857142857,0.2,76.1479787908318
RTX_A6000,0.4197292857142857,0.2,79.26392719676925
RTX_A6000,0.3855142857142857,0.2,72.8025832750026
RTX_A6000,0.3522292857142857,0.2,66.51686553611606
RTX_A6000,0.3732142857142857,0.2,70.47978537239469
RTX_A6000,0.4377292857142857,0.2,82.66314363961011
RTX_A6000,0.4146442857142857,0.2,78.30364855166671
RTX_A6000,0.41185428571428573,0.2,77.7767700030264
RTX_A6000,0.4191292857142857,0.2,79.1506199820079
RTX_A6000,0.4279792857142857,0.2,80.82190139973797
RTX_A6000,0.4339792857142857,0.2,81.9549735473516
RTX_A6000,0.4377142857142857,0.2,82.66031095924109
RTX_A6000,0.4332142857142857,0.2,81.81050684853086
RTX_4000_SFF_ADA,0.1337226,0.0,21.044076884232886
RTX_4000_SFF_ADA,0.1309941,0.0,20.61468975162681
RTX_4000_SFF_ADA,0.13086014999999998,0.0,20.593609888547245
RTX_4000_SFF_ADA,0.13050015,0.0,20.536956281166567
RTX_4000_SFF_ADA,0.12926985,0.0,20.34334257794309
RTX_4000_SFF_ADA,0.1290426,0.0,20.30757998828404
RTX_4000_SFF_ADA,0.1280082,0.0,20.144795289743545
RTX_4000_SFF_ADA,0.1276578,0.0,20.08965244522635
RTX_4000_SFF_ADA,0.12706499999999998,0.0,19.99636283840616
RTX_4000_SFF_ADA,0.126273,0.0,19.871724902168665
RTX_4000_SFF_ADA,0.126,0.0,19.828762583238316
RTX_4000_SFF_ADA,0.12429689999999999,0.0,19.56074380898821
RTX_4000_SFF_ADA,0.12415005,0.0,19.53763385831084
RTX_4000_SFF_ADA,0.12090014999999998,0.0,19.026193417681743
RTX_4000_SFF_ADA,0.1206045,0.0,18.97966664262036
RTX_4000_SFF_ADA,0.120015,0.0,18.886896360534493
RTX_4000_SFF_ADA,0.11820015,0.0,18.601291362326638
RTX_4000_SFF_ADA,0.1178304,0.0,18.543103386412728
RTX_4000_SFF_ADA,0.11688,0.0,18.39353786292773
A40,0.4622142857142857,0.2,87.28702222866336
A40,0.4581642857142857,0.2,86.52219852902415
A40,0.4532142857142857,0.2,85.58741400724293
A40,0.4517292857142857,0.2,85.30697865070856
A40,0.4457292857142857,0.2,84.17390650309494
A40,0.4457292857142857,0.2,84.17390650309494
A40,0.44121428571428567,0.2,83.32126971201568
A40,0.43912928571428567,0.2,82.92752714071995
A40,0.4255842857142857,0.2,80.36961676748223
A40,0.4202142857142857,0.2,79.35551719536804
A40,0.41947928571428567,0.2,79.21671585728535
A40,0.41811428571428566,0.2,78.95894194370325
A40,0.3857142857142857,0.2,72.84035234658973
RTX_A4000,0.30275015,0.04000000000000001,49.5498990495665
RTX_A4000,0.300575,0.04000000000000001,49.19390099996136
